iter	Logloss
0	0.6786333693
1	0.6625059761
2	0.6485132359
3	0.6343285016
4	0.6210632851
5	0.6085014452
6	0.5961333948
7	0.5842195584
8	0.5732520747
9	0.5628050902
10	0.5525646612
11	0.5414982202
12	0.5312433975
13	0.5219305219
14	0.513459112
15	0.5058287641
16	0.4981069098
17	0.4897900602
18	0.4819996181
19	0.4749257927
20	0.468432397
21	0.4606290441
22	0.4538666474
23	0.4470423847
24	0.4408464904
25	0.4351168997
26	0.4293339539
27	0.4247160487
28	0.419878685
29	0.4155637159
30	0.4113590787
31	0.4073873011
32	0.4023881239
33	0.3982905756
34	0.3954990284
35	0.3911394856
36	0.3872239799
37	0.3844655686
38	0.3817330617
39	0.3789890243
40	0.3756907096
41	0.3728872726
42	0.369630965
43	0.3668266041
44	0.3636619728
45	0.3608784589
46	0.358258433
47	0.3557212642
48	0.3530471636
49	0.351286876
50	0.3487329859
51	0.3467482956
52	0.344817693
53	0.3427593676
54	0.3409632769
55	0.3390044529
56	0.3370068544
57	0.3357070767
58	0.3336540229
59	0.3316734241
60	0.3301428759
61	0.327788244
62	0.325912815
63	0.324302518
64	0.3232525278
65	0.3216280253
66	0.3199725074
67	0.3183194671
68	0.3174099735
69	0.3159230885
70	0.314618937
71	0.3129514579
72	0.3118506316
73	0.3107537029
74	0.3095610631
75	0.3083052478
76	0.3074483111
77	0.3061743675
78	0.3054244362
79	0.3044117264
80	0.3033718346
81	0.3023480126
82	0.3015398177
83	0.30067081
84	0.299580456
85	0.2987699223
86	0.2976204874
87	0.296798687
88	0.2958085358
89	0.2950809
90	0.2941281588
91	0.2932266837
92	0.2919651066
93	0.2911565484
94	0.290245546
95	0.2893331603
96	0.2886383989
97	0.2879884846
98	0.2869566958
99	0.2864078299
100	0.2856104168
101	0.2849423007
102	0.2842849667
103	0.2835188805
104	0.2831061637
105	0.2821003688
106	0.2811246268
107	0.2802944337
108	0.2797571578
109	0.2791052503
110	0.2783967006
111	0.2774999233
112	0.2768815335
113	0.2763351889
114	0.2756297795
115	0.2750547559
116	0.2743545926
117	0.273713827
118	0.2729125451
119	0.272422011
120	0.2714647684
121	0.2706992391
122	0.2702334102
123	0.2696081423
124	0.2689830693
125	0.2684392836
126	0.2679057066
127	0.2672709567
128	0.2668302582
129	0.266433091
130	0.2659184992
131	0.2653874737
132	0.2647625476
133	0.2642930422
134	0.2639426738
135	0.2634806611
136	0.2627833161
137	0.262149819
138	0.2617105855
139	0.2610593541
140	0.2605710488
141	0.2601137442
142	0.2597064363
143	0.2592408135
144	0.2588869453
145	0.2584195178
146	0.2578239348
147	0.257373219
148	0.2568476846
149	0.2562900456
150	0.2558112028
151	0.2552334732
152	0.2547754581
153	0.2543203824
154	0.2539807488
155	0.2535243344
156	0.2528916355
157	0.252387582
158	0.2517835403
159	0.251444472
160	0.2510837219
161	0.2507543799
162	0.2503572816
163	0.2497249314
164	0.2494359239
165	0.2490666104
166	0.24854048
167	0.2481851222
168	0.2476507884
169	0.2471494019
170	0.2465886074
171	0.2460479358
172	0.245616659
173	0.2452400188
174	0.2449316802
175	0.2446080867
176	0.2441715307
177	0.2436456991
178	0.2431473747
179	0.2426584084
180	0.2422831072
181	0.2418674685
182	0.2413911055
183	0.2411434669
184	0.2405645347
185	0.2402799571
186	0.2396504764
187	0.2391279233
188	0.2388401807
189	0.2385834266
190	0.2381852733
191	0.2378152939
192	0.2373980837
193	0.2370236249
194	0.2366120327
195	0.2360728966
196	0.2357962608
197	0.2354176983
198	0.235047568
199	0.2346339865
200	0.2342346922
201	0.2340149736
202	0.2336440507
203	0.2331926931
204	0.2329490377
205	0.2325758947
206	0.2322620178
207	0.2319448316
208	0.231650191
209	0.2313675292
210	0.2311010221
211	0.230621409
212	0.2301367744
213	0.2297511391
214	0.2295506393
215	0.2292164094
216	0.228832407
217	0.2285127362
218	0.2281902045
219	0.2278644677
220	0.227627451
221	0.2273988075
222	0.2271269912
223	0.2268866046
224	0.2266326534
225	0.2262724799
226	0.2260420322
227	0.2255313955
228	0.2252439997
229	0.2250160255
230	0.2248154247
231	0.2243775122
232	0.2241473347
233	0.2236174536
234	0.223225453
235	0.222883557
236	0.2225784544
237	0.2222772002
238	0.2219772226
239	0.2217046831
240	0.2214914516
241	0.2211773823
242	0.2209000025
243	0.2206113657
244	0.220115767
245	0.2199178393
246	0.2194863358
247	0.2190991288
248	0.2188443829
249	0.2186092208
250	0.2183533138
251	0.2180490278
252	0.2177447147
253	0.2174978328
254	0.2171504764
255	0.2169367454
256	0.2166703792
257	0.2163884933
258	0.2160439036
259	0.2157714949
260	0.2154637251
261	0.2151725956
262	0.214763
263	0.2144362326
264	0.2141881522
265	0.2139295865
266	0.2137300708
267	0.2134292226
268	0.2131056121
269	0.2128655023
270	0.2126719164
271	0.2124183652
272	0.2121174307
273	0.2118666141
274	0.2115216327
275	0.2112526047
276	0.2110714749
277	0.2108124292
278	0.2106504398
279	0.2102570054
280	0.2100178969
281	0.2096794062
282	0.2094414183
283	0.2092574629
284	0.208963304
285	0.2087018707
286	0.2083525779
287	0.208119919
288	0.2077428809
289	0.2074371966
290	0.207207645
291	0.2067751852
292	0.2063892045
293	0.2060416881
294	0.2057741811
295	0.205537352
296	0.2052451688
297	0.2050942663
298	0.2048454012
299	0.2045024708
300	0.2042475561
301	0.2040262556
302	0.2037730086
303	0.2035346524
304	0.2032220403
305	0.2029731886
306	0.2026822683
307	0.2022506326
308	0.2020551644
309	0.2017346473
310	0.2012912718
311	0.2009348108
312	0.2007541731
313	0.2005910893
314	0.2001128049
315	0.1999199451
316	0.1996829116
317	0.1993953364
318	0.1993885545
319	0.1991512573
320	0.1987906917
321	0.1985638414
322	0.1983988608
323	0.1981155766
324	0.1979173852
325	0.1974809146
326	0.1972554065
327	0.1969953959
328	0.196513616
329	0.196254419
330	0.1959728312
331	0.1957135256
332	0.1955241268
333	0.1952140449
334	0.1949398934
335	0.1946996971
336	0.1944889389
337	0.1942843496
338	0.194043261
339	0.193764876
340	0.1935791947
341	0.193274208
342	0.1929879007
343	0.1928229009
344	0.1925430654
345	0.1922466276
346	0.1919326198
347	0.191617666
348	0.1913608346
349	0.1910562525
350	0.1908943415
351	0.1906972894
352	0.190281221
353	0.1899507853
354	0.1897320301
355	0.1894981689
356	0.1892408563
357	0.189090028
358	0.1888267453
359	0.1886036162
360	0.188306011
361	0.1880850364
362	0.1878396584
363	0.1876418083
364	0.1873997188
365	0.1872046123
366	0.1869752484
367	0.1866952857
368	0.1864906757
369	0.1862974238
370	0.186175327
371	0.185882084
372	0.1856758395
373	0.1855228256
374	0.1853401801
375	0.1850531292
376	0.1848647284
377	0.1846819171
378	0.184442622
379	0.1843110633
380	0.1840441344
381	0.1838059751
382	0.1836485463
383	0.1834560465
384	0.18318664
385	0.182964095
386	0.1827412652
387	0.1825732056
388	0.1822568667
389	0.1819929695
390	0.1818239765
391	0.1817178217
392	0.1813637363
393	0.1811510038
394	0.180893045
395	0.1805293465
396	0.1803713199
397	0.1801689871
398	0.1799546495
399	0.1796881815
400	0.1793880509
401	0.1792274767
402	0.1789447897
403	0.1786184088
404	0.1784688271
405	0.1782589973
406	0.1780615394
407	0.1778971772
408	0.1777691452
409	0.1775898569
410	0.1773650551
411	0.1771473575
412	0.1769458586
413	0.1766251244
414	0.1765033852
415	0.1762887774
416	0.1759828354
417	0.1758166909
418	0.1756409827
419	0.1754146406
420	0.1750736516
421	0.1748102756
422	0.1746859469
423	0.1744783559
424	0.1743165437
425	0.174135554
426	0.1739621149
427	0.17381118
428	0.173557456
429	0.1732855811
430	0.1730753673
431	0.1729336521
432	0.1727425094
